Parcel Number,Class,County,Price,List Date,List Price,Selling Price,Selling Price,Days On Market,Days On MLS,Closed Date,Date History Status,Price / SqFt,List Price / SqFt,Sold Price/SqFt,Original Price,Date Price Change,How Sold Code,Address,City,State,Zip Code,SFHeatCool,Year Built,Baths,Bedrooms,Half-Baths,Condition,Listing Type,Listing Visibility Type,AddtRentYN,# Tenants,# Floors,Cap Rate %,Condition,Date Leased,For Comp Purposes Only Y/N,MLS Only Entry Y/N (No Services Provided),Number of Acres,Pass Thru Exp/SF Annual,Price/SqFt Annual,Price/SqFt Monthly,Sale/Rent,Short Sale Y/N,Taxes - Annual,Total # of Units,# of Garage Spaces,Garage Y/N,Net Operating Income,Pool Y/N,Zoning,Bank Owned Y/N,Auction
13199-010-010,AT,Alachua,"$56,000 ",6/28/2017,"$63,000 ","$56,000 ",,63,63,8/30/2017,8/31/2017,$68.63 ,,$61.00 ,"$63,000 ",8/31/2017,CASH,914 SW 8th Avenue 10,Gainesville,FL,32601,918,1969,2,4,0,,Exclusive Agency,MLS Listing,,,,,,,No,Yes,,,,,For Sale,No,"$1,070 ",,,No,,,,No,No
6860170176,AT,Alachua,"$177,000 ",5/21/2019,"$183,000 ","$177,000 ",,91,91,8/20/2019,8/29/2019,$133.67 ,,$129.29 ,"$183,000 ",8/29/2019,CONVENTIONAL,10000 SW 52nd Avenue CC-176,Gainesville,FL,32608,"1,369",1998,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,996 ",,,No,,,,No,No
07305-001-006,AT,Alachua,"$96,500 ",4/1/2018,"$99,800 ","$96,500 ",,64,65,7/13/2018,7/13/2018,$82.62 ,,$79.88 ,"$105,000 ",7/13/2018,CASH,2735 SW 35TH Place 106,Gainesville,FL,32608,"1,208",1984,2,3,1,Other,Exclusive Agency,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,451 ",,,No,,,,No,No
06853-102-202,AT,Alachua,"$149,000 ",11/26/2018,"$149,000 ","$149,000 ",,32,32,12/28/2018,12/31/2018,$163.74 ,,$163.74 ,"$149,000 ",11/26/2018,CONVENTIONAL,5218 SW 91st Drive E,Gainesville,FL,32608,910,2006,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,493 ",,,No,,,,No,No
06853-117-203,AT,Alachua,"$160,000 ",7/15/2019,"$160,000 ","$160,000 ",,43,43,8/27/2019,8/28/2019,$144.01 ,,$144.01 ,"$160,000 ",7/15/2019,CONVENTIONAL,9172 SW 52ND Road F-203,Gainesville,FL,32608,"1,111",2006,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,147 ",,,No,,,,No,No
09008-010-005,AT,Alachua,"$51,000 ",7/20/2018,"$51,000 ","$51,000 ",,41,41,8/30/2018,8/30/2018,$103.45 ,,$103.45 ,"$52,900 ",8/30/2018,CASH,1515 NW 29TH Road A-5,Gainesville,FL,32605,493,1981,1,1,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$784 ,,,No,,,,No,No
13199-010-053,AT,Alachua,"$60,000 ",3/26/2018,"$62,000 ","$60,000 ",,42,42,5/7/2018,5/9/2018,$63.79 ,,$61.73 ,"$62,000 ",5/9/2018,CASH,914 SW 8th Avenue 53,Gainesville,FL,32601,972,1969,1,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$949 ,,,No,,,,No,No
06877-121-003,AT,Alachua,"$81,000 ",7/17/2018,"$81,000 ","$81,000 ",,49,49,9/4/2018,9/4/2018,$65.43 ,,$65.43 ,"$81,000 ",7/17/2018,FHA,4409 SW 67TH Terrace,Gainesville,FL,32608,"1,238",1984,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,289 ",,,No,,,,No,No
07242-070-008,AT,Alachua,"$82,000 ",4/13/2018,"$85,500 ","$82,000 ",,53,53,6/5/2018,6/6/2018,$73.20 ,,$70.21 ,"$85,500 ",6/6/2018,CASH,4411 SW 34th Street 708,Gainesville,FL,32608,"1,168",1985,2,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,236 ",,,No,,,,No,No
13199-010-019,AT,Alachua,"$60,000 ",6/28/2017,"$65,000 ","$60,000 ",,168,167,12/14/2017,12/15/2017,$66.87 ,,$61.73 ,"$65,000 ",12/15/2017,CASH,914 SW 8th Avenue 19,Gainesville,FL,32601,972,1969,1,4,1,,Exclusive Agency,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$906 ,,,No,,,,No,No
