Parcel Number,Class,County,Price,List Date,List Price,Selling Price,Selling Price,Days On Market,Days On MLS,Closed Date,Date History Status,Price / SqFt,List Price / SqFt,Sold Price/SqFt,Original Price,Date Price Change,How Sold Code,Address,City,State,Zip Code,SFHeatCool,Year Built,Baths,Bedrooms,Half-Baths,Condition,Listing Type,Listing Visibility Type,AddtRentYN,# Tenants,# Floors,Cap Rate %,Condition,Date Leased,For Comp Purposes Only Y/N,MLS Only Entry Y/N (No Services Provided),Number of Acres,Pass Thru Exp/SF Annual,Price/SqFt Annual,Price/SqFt Monthly,Sale/Rent,Short Sale Y/N,Taxes - Annual,Total # of Units,# of Garage Spaces,Garage Y/N,Net Operating Income,Pool Y/N,Zoning,Bank Owned Y/N,Auction
6750-010-044 /   56767,AT,Alachua,"$142,000 ",2/7/2019,"$146,500 ","$142,000 ",,29,29,3/8/2019,3/11/2019,$128.28 ,,$124.34 ,"$146,500 ",3/11/2019,CASH,2306 SW 42nd Drive 144,Gainesville,FL,32607,"1,142",2005,2,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,028 ",,,No,,,,No,No
 07297-010-150,AT,Alachua,"$124,000 ",3/30/2019,"$125,900 ","$124,000 ",,61,61,5/30/2019,6/3/2019,$113.02 ,,$111.31 ,"$125,900 ",6/3/2019,CASH,3510 SW 30th Way 150,Gainesville,FL,32608,"1,114",2002,2,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,925 ",,,No,,,,No,No
06685-102-002,AT,Alachua,"$60,000 ",5/21/2017,"$64,500 ","$60,000 ",,102,102,8/31/2017,9/5/2017,$60.73 ,,$56.50 ,"$74,500 ",9/5/2017,CASH,2300 SW 43rd Street B-2,Gainesville,FL,32607,"1,062",1985,1,2,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$896 ,,,No,,,,No,No
 13235-310-000,AT,Alachua,"$151,000 ",7/17/2019,"$153,500 ","$151,000 ",,23,23,8/9/2019,8/12/2019,$348.86 ,,$343.18 ,"$153,500 ",8/12/2019,CASH,1220 SW 1st Avenue 310,Gainesville,FL,32601,440,2006,1,1,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,102 ",,,No,,,,No,No
06677-020-038,AT,Alachua,"$86,000 ",11/7/2017,"$89,900 ","$86,000 ",,87,86,2/2/2018,2/2/2018,$87.28 ,,$83.50 ,"$89,900 ",2/2/2018,OTHER,2344 SW 73RD Terrace,Gainesville,FL,32607,"1,030",1986,1,2,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$791 ,,,No,,,,No,No
07284-300-102,AT,Alachua,"$127,000 ",6/5/2017,"$129,900 ","$127,000 ",,53,53,7/28/2017,7/30/2017,$110.37 ,,$107.90 ,"$129,900 ",7/30/2017,CONVENTIONAL,4000 SW 23rd Street 3-102,Gainesville,FL,32608,"1,177",1999,4,4,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$762 ,,,No,,,,No,No
07294-201-126,AT,Alachua,"$104,000 ",12/9/2018,"$109,900 ","$104,000 ",,39,38,1/17/2019,1/18/2019,$115.68 ,,$109.47 ,"$109,900 ",1/18/2019,CASH,3705 SW 27th Street 1126,Gainesville,FL,32608,950,1996,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,581 ",,,No,,,,No,No
07294-201-825,AT,Alachua,"$79,000 ",10/11/2019,"$84,900 ","$79,000 ",,40,40,11/20/2019,11/21/2019,$141.50 ,,$131.67 ,"$84,900 ",11/21/2019,CASH,3705 SW 27th Street 825,Gainesville,FL,32608,600,1996,1,1,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,137 ",,,No,,,,No,No
07294-202-314,AT,Alachua,"$90,000 ",6/8/2017,"$98,900 ","$90,000 ",,57,57,8/4/2017,8/4/2017,$104.11 ,,$94.74 ,"$98,900 ",8/4/2017,CASH,3705 SW 27th Street 314,Gainesville,FL,32608,950,1996,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,446 ",,,No,,,,No,No
07312-008-011,AT,Alachua,"$116,000 ",10/31/2017,"$121,900 ","$116,000 ",,52,52,12/22/2017,12/26/2017,$106.84 ,,$101.67 ,"$121,900 ",12/26/2017,CASH,2636 SW 35th Place 11,Gainesville,FL,32608,"1,141",2004,2,2,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,806 ",,,No,,,,No,No
07332-201-038,AT,Alachua,"$89,900 ",11/4/2018,"$89,900 ","$89,900 ",,54,54,12/28/2018,12/28/2018,$99.89 ,,$99.89 ,"$89,900 ",11/4/2018,CONVENTIONAL,2490 SW 14TH Drive 38,Gainesville,FL,32608,900,1979,1,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$329 ,,,No,,,,No,No
09003-014-109,AT,Alachua,"$92,000 ",3/31/2018,"$99,900 ","$92,000 ",,65,65,9/18/2018,9/21/2018,$93.36 ,,$85.98 ,"$89,900 ",9/21/2018,CONVENTIONAL,1810 NW 23rd Boulevard 109,Gainesville,FL,32605,"1,070",1972,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$579 ,,,No,,,,No,No
06757-005-141,AT,Alachua,"$138,900 ",5/2/2019,"$145,900 ","$138,900 ",,189,189,11/7/2019,11/9/2019,$123.96 ,,$118.01 ,"$165,000 ",11/9/2019,CASH,2601 SW Archer Road K 141,Gainesville,FL,32608,"1,177",1993,2,4,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,Yes,,,,,For Sale,No,"$1,795 ",,,No,,,,No,No
06860-061-042,AT,Alachua,"$134,000 ",4/27/2017,"$134,000 ","$134,000 ",,85,78,7/21/2017,7/24/2017,$116.32 ,,$116.32 ,"$123,000 ",5/16/2017,FHA,5143 SW 92nd Court,Gainesville,FL,32608,"1,152",1984,2,2,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,251 ",,,No,,,,No,No
06724-016-009,AT,Alachua,"$123,000 ",1/23/2019,"$125,900 ","$123,000 ",,77,77,4/10/2019,4/12/2019,$107.06 ,,$104.59 ,"$125,900 ",4/12/2019,CASH,3960 SW 20th Avenue 1006,Gainesville,FL,32607,"1,176",2002,2,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,774 ",,,No,,,,No,No
06757-005-151,AT,Alachua,"$140,000 ",4/11/2018,"$150,000 ","$140,000 ",,28,28,5/9/2018,5/9/2018,$127.44 ,,$118.95 ,"$150,000 ",5/9/2018,CASH,2601 SW Archer Road M-151,Gainesville,FL,32608,"1,177",1993,2,4,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,710 ",,,No,,,,No,No
6014008011,AT,Alachua,"$31,500 ",7/21/2017,"$31,500 ","$31,500 ",,49,49,9/8/2017,9/15/2017,$32.54 ,,$32.54 ,"$31,500 ",7/21/2017,CONVENTIONAL,2403 NW 58th Avenue,Gainesville,FL,32653,968,1980,1,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,094 ",,,No,,,,No,No
13199-010-040,AT,Alachua,"$48,000 ",2/3/2019,"$57,900 ","$48,000 ",,26,26,3/1/2019,3/4/2019,$59.57 ,,$49.38 ,"$57,900 ",3/4/2019,CASH,914 SW 8th Avenue 40,Gainesville,FL,32601,972,1969,1,4,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,036 ",,,No,,,,No,No
13446-310-000,AT,Alachua,"$245,000 ",11/28/2017,"$247,000 ","$245,000 ",,49,49,1/16/2018,1/16/2018,$175.18 ,,$173.76 ,"$247,000 ",1/16/2018,CONVENTIONAL,835 SW 9 Street 310,Gainesville,FL,32601,"1,410",2005,4,4,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$4,033 ",,,No,,,,No,No
13235-209-000,AT,Alachua,"$125,000 ",3/20/2018,"$124,999 ","$125,000 ",,161,161,8/28/2018,8/29/2018,$290.70 ,,$290.70 ,"$134,500 ",8/29/2018,CASH,1220 SW 1st Avenue 209,Gainesville,FL,32601,430,2006,1,1,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$742 ,,,No,,,,No,No
07297-032-013,AT,Alachua,"$145,000 ",3/28/2018,"$154,000 ","$145,000 ",,61,61,5/28/2018,6/20/2018,$141.15 ,,$132.91 ,"$154,000 ",6/20/2018,CASH,2930 SW 35th Place 13,Gainesville,FL,32608,"1,091",2008,3,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,530 ",,,No,,,,No,No
07297-033-048,AT,Alachua,"$147,000 ",3/22/2017,"$154,900 ","$147,000 ",,86,86,6/16/2017,6/19/2017,$134.93 ,,$128.05 ,"$154,900 ",6/19/2017,CONVENTIONAL,2950 SW 35th Place 48,Gainesville,FL,32608,"1,148",2009,3,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,600 ",,,No,,,,No,No
07297-033-053,AT,Alachua,"$155,000 ",6/13/2018,"$159,900 ","$155,000 ",,49,49,8/1/2018,8/4/2018,$139.29 ,,$135.02 ,"$162,900 ",8/4/2018,CASH,2950 SW 35th Place 53,Gainesville,FL,32608,"1,148",2009,3,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,530 ",,,No,,,,No,No
 07240-050-608,AT,Alachua,"$124,000 ",6/26/2019,"$127,000 ","$124,000 ",,55,55,9/24/2019,9/25/2019,$108.36 ,,$105.80 ,"$127,000 ",9/25/2019,CASH,4415 SW 34th Street 608,Gainesville,FL,32608,"1,172",2000,2,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,753 ",,,No,,,,No,No
06571-054-009,AT,Alachua,"$160,900 ",2/17/2018,"$164,900 ","$160,900 ",,54,54,5/9/2018,5/9/2018,$127.83 ,,$124.73 ,"$164,900 ",5/9/2018,CONVENTIONAL,409 NW 48th Boulevard,Gainesville,FL,32607,"1,290",1986,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,704 ",,1,Yes,,,,No,No
07284-300-305,AT,Alachua,"$149,900 ",2/2/2018,"$149,900 ","$149,900 ",,40,40,3/30/2018,4/2/2018,$127.36 ,,$127.36 ,"$149,900 ",2/2/2018,CONVENTIONAL,4000 SW 23rd Street 3-305,Gainesville,FL,32608,"1,177",1999,4,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,785 ",,,No,,,,No,No
07284-600-305,AT,Alachua,"$107,900 ",1/6/2017,"$107,900 ","$107,900 ",,84,0,3/31/2017,4/2/2017,$91.67 ,,$91.67 ,"$107,900 ",3/31/2017,CONVENTIONAL,4000 SW 23rd Street 5-307,Gainesville,FL,32608,"1,177",1999,4,4,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$0 ,,,No,,,,No,No
07294-202-214,AT,Alachua,"$95,000 ",2/5/2018,"$99,900 ","$95,000 ",,51,51,3/28/2018,4/3/2018,$105.16 ,,$100.00 ,"$99,900 ",4/3/2018,CASH,3705 SW 27th Street 1214,Gainesville,FL,32608,950,1996,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,399 ",,,No,,,,No,No
07296-030-040,AT,Alachua,"$82,500 ",5/28/2018,"$84,900 ","$82,500 ",,66,66,8/2/2018,8/2/2018,$93.50 ,,$90.86 ,"$84,900 ",8/2/2018,FHA,2921 SW 38TH Place,Gainesville,FL,32608,908,1987,2,2,0,Other,Exclusive Agency,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,232 ",,,No,,,,No,No
07314-072-076,AT,Alachua,"$145,000 ",5/29/2018,"$154,000 ","$145,000 ",,70,70,8/7/2018,8/7/2018,$106.21 ,,$100.00 ,"$154,000 ",8/7/2018,CONVENTIONAL,2508 SW 35TH Place 76,Gainesville,FL,32608,"1,450",2007,2,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,649 ",,,No,,,,No,No
09003-010-258,AT,Alachua,"$68,800 ",12/28/2016,"$77,100 ","$68,800 ",,146,146,6/13/2017,6/26/2017,$72.06 ,,$64.30 ,"$79,900 ",6/26/2017,CONVENTIONAL,1810 NW 23rd Boulevard 258,Gainesville,FL,32605,"1,070",1972,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,218 ",,,No,,,,No,No
09009-010-273,AT,Alachua,"$138,000 ",2/19/2019,"$144,900 ","$138,000 ",,76,76,5/6/2019,5/16/2019,$140.14 ,,$133.46 ,"$144,900 ",5/16/2019,CONVENTIONAL,2273 NW 16th Terrace,Gainesville,FL,32605,"1,034",2005,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,269 ",,,No,,,,No,No
06706-111-000,AT,Alachua,"$127,000 ",5/12/2017,"$127,000 ","$127,000 ",,28,28,6/9/2017,6/12/2017,$103.67 ,,$103.67 ,"$127,000 ",5/12/2017,CASH,3800 SW 20th Avenue 111,Gainesville,FL,32608,"1,225",1996,4,4,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,608 ",,,No,,,,No,Yes
06765-050-501,AT,Alachua,"$115,000 ",6/27/2018,"$129,900 ","$115,000 ",,89,89,9/24/2018,9/25/2018,$118.85 ,,$105.22 ,"$129,900 ",9/25/2018,CASH,2360 SW Archer Road 501,Gainesville,FL,32608,"1,093",1996,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,760 ",,,No,,,,No,No
06774-010-422,AT,Alachua,"$64,500 ",5/19/2017,"$74,900 ","$64,500 ",,38,38,6/26/2017,6/27/2017,$93.63 ,,$80.63 ,"$74,900 ",6/27/2017,CASH,2905 SW Archer Road 4022,Gainesville,FL,32608,800,1998,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$997 ,,,No,,,,No,No
06819-020-158,AT,Alachua,"$120,000 ",3/28/2017,"$126,500 ","$120,000 ",,28,28,4/25/2017,5/2/2017,$111.55 ,,$105.82 ,"$126,500 ",5/2/2017,CASH,4700 SW Archer Road 158,Gainesville,FL,32608,"1,134",1997,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$796 ,,1,Yes,,,,No,No
07297-031-099,AT,Alachua,"$127,000 ",11/14/2016,"$138,900 ","$127,000 ",,93,93,2/15/2017,2/16/2017,$128.73 ,,$117.70 ,"$138,900 ",2/16/2017,CASH,2980 SW 35th Pl Place 99,Gainesville,FL,32608,"1,079",2008,3,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,555 ",,,No,,,,No,No
14567-030-325,AT,Alachua,"$181,500 ",2/24/2019,"$189,900 ","$181,500 ",,53,53,4/18/2019,4/20/2019,$262.29 ,,$250.69 ,"$189,900 ",4/20/2019,CASH,201 SE 2nd Avenue 325,Gainesville,FL,32601,724,2000,1,1,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,758 ",,,No,,,,No,No
14567-040-418,AT,Alachua,"$240,000 ",4/24/2017,"$254,900 ","$240,000 ",,102,102,8/4/2017,8/7/2017,$138.01 ,,$129.94 ,"$254,900 ",8/7/2017,CASH,201 SE 2nd Avenue 418,Gainesville,FL,32601,"1,847",2000,3,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$4,255 ",,,No,,,,No,No
14848-311-000,AT,Alachua,"$224,000 ",1/14/2019,"$238,500 ","$224,000 ",,141,141,6/4/2019,6/4/2019,$284.95 ,,$267.62 ,"$238,500 ",6/4/2019,CONVENTIONAL,1460 NW 3rd Place 311,Gainesville,FL,32603,837,2006,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$837 ,,,No,,,,No,No
15511-001-003,AT,Alachua,"$250,000 ",7/17/2017,"$259,900 ","$250,000 ",,57,57,9/12/2017,9/18/2017,$200.54 ,,$192.90 ,"$259,900 ",9/18/2017,CASH,1142 SW 9th Road 104,Gainesville,FL,32601,"1,296",2007,3,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$4,329 ",,,No,,,,No,No
15524-103-000,AT,Alachua,"$225,000 ",2/17/2017,"$229,900 ","$225,000 ",,189,189,8/25/2017,8/28/2017,$221.06 ,,$216.35 ,"$229,900 ",8/28/2017,CONVENTIONAL,1185 SW 9TH Road 103,Gainesville,FL,32601,"1,040",2008,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,398 ",,,No,,,,No,No
15524-105-000,AT,Alachua,"$222,000 ",3/15/2017,"$229,900 ","$222,000 ",,114,114,7/7/2017,7/9/2017,$221.06 ,,$213.46 ,"$229,900 ",7/9/2017,CASH,1185 SW 9TH Road 105,Gainesville,FL,32601,"1,040",2008,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,947 ",,,No,,,,No,No
 07305-008-001,AT,Alachua,"$111,000 ",6/17/2019,"$116,580 ","$111,000 ",,46,46,8/2/2019,8/5/2019,$96.51 ,,$91.89 ,"$116,580 ",8/5/2019,CASH,2735 SW 35th Place 801,Gainesville,FL,32608,"1,208",1986,2,3,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,542 ",,,No,,,,No,No
06678-221-000,AT,Alachua,"$32,334 ",6/6/2017,"$35,000 ","$32,334 ",,210,0,1/2/2018,1/3/2018,$44.42 ,,$41.03 ,"$35,000 ",1/3/2018,CASH,1985 SW 69th Drive,Gainesville,FL,32607,788,1983,1,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$631 ,,,No,,,,No,No
07294-200-211,AT,Alachua,"$126,000 ",2/5/2018,"$134,900 ","$126,000 ",,25,25,3/2/2018,3/5/2018,$112.60 ,,$105.18 ,"$134,900 ",3/5/2018,CASH,3705 SW 27th Street 211,Gainesville,FL,32608,"1,198",1996,3,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,743 ",,,No,,,,No,No
06653-103-000,AT,Alachua,"$75,000 ",10/15/2017,"$75,000 ","$75,000 ",,31,27,11/15/2017,11/15/2017,$70.09 ,,$70.09 ,"$75,000 ",10/19/2017,CASH,7200 SW 8th Avenue P-103,Gainesville,FL,32607,"1,070",1984,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$288 ,,,No,,,,No,No
07284-600-207,AT,Alachua,"$137,900 ",1/25/2018,"$137,900 ","$137,900 ",,34,34,2/28/2018,3/2/2018,$117.16 ,,$117.16 ,"$137,900 ",1/25/2018,CASH,4000 SW 23rd Street 6-207,Gainesville,FL,32608,"1,177",1999,4,4,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,731 ",,,No,,,,No,No
07294-202-218,AT,Alachua,"$120,000 ",3/24/2017,"$124,900 ","$120,000 ",,131,131,8/2/2017,9/5/2017,$104.26 ,,$100.17 ,"$124,900 ",9/5/2017,CONVENTIONAL,3705 SW 27 Street 1218,Gainesville,FL,32608,"1,198",1996,3,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,723 ",,,No,,,,No,No
07314-072-092,AT,Alachua,"$139,500 ",12/1/2016,"$144,900 ","$139,500 ",,127,127,4/7/2017,4/17/2017,$99.93 ,,$96.21 ,"$144,900 ",4/17/2017,CASH,2508 SW 35TH Place 92,Gainesville,FL,32608,"1,450",2007,2,2,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,600 ",,,No,,,,No,No
09009-010-285,AT,Alachua,"$164,900 ",3/4/2019,"$164,900 ","$164,900 ",,102,102,6/14/2019,6/15/2019,$112.71 ,,$112.71 ,"$164,900 ",3/4/2019,CONVENTIONAL,2285 NW 16th Terrace,Gainesville,FL,32605,"1,463",2005,3,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,330 ",,,No,,,,No,No
06724-011-007,AT,Alachua,"$130,000 ",5/31/2019,"$134,900 ","$130,000 ",,91,91,8/30/2019,9/2/2019,$114.71 ,,$110.54 ,"$134,900 ",9/2/2019,CASH,3940 SW 20th Avenue 1107,Gainesville,FL,32607,"1,176",2002,2,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,817 ",,,No,,,,No,No
06724-107-707,AT,Alachua,"$96,000 ",1/20/2017,"$99,900 ","$96,000 ",,39,39,2/28/2017,3/1/2017,$84.95 ,,$81.63 ,"$99,900 ",3/1/2017,CASH,3901 SW 20th Avenue 707,Gainesville,FL,32607,"1,176",2001,2,2,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,573 ",,,No,,,,No,No
06724-107-707,AT,Alachua,"$116,500 ",2/23/2018,"$121,900 ","$116,500 ",,70,70,5/4/2018,5/6/2018,$103.66 ,,$99.06 ,"$121,900 ",5/6/2018,CONVENTIONAL,3901 SW 20th Avenue 203,Gainesville,FL,32607,"1,176",2001,2,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,617 ",,,No,,,,No,No
06774-010-517,AT,Alachua,"$71,900 ",12/15/2017,"$79,900 ","$71,900 ",,41,41,1/25/2018,1/29/2018,$99.88 ,,$89.88 ,"$79,900 ",1/29/2018,CASH,2905 SW Archer Road 5017,Gainesville,FL,32608,800,1998,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$426 ,,,No,,,,No,No
13446-205-000,AT,Alachua,"$235,000 ",4/13/2017,"$239,000 ","$235,000 ",,0,0,4/13/2017,4/20/2017,$165.51 ,,$162.74 ,"$239,000 ",4/20/2017,CONVENTIONAL,835 SW 9 Street 207,Gainesville,FL,32601,"1,444",2005,4,4,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,840 ",,,No,,,,No,No
13235-203-000,AT,Alachua,"$112,000 ",7/15/2017,"$120,000 ","$112,000 ",,31,31,8/15/2017,2/21/2018,$279.07 ,,$260.47 ,"$120,000 ",2/21/2018,CASH,1220 SW 1ST Avenue 203,Gainesville,FL,32601,430,2006,1,1,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,682 ",,,No,,,,No,No
12958-205-000,AT,Alachua,"$238,900 ",4/26/2019,"$244,900 ","$238,900 ",,52,52,6/17/2019,6/20/2019,$216.92 ,,$211.60 ,"$244,900 ",6/20/2019,CONVENTIONAL,230 SW 2nd Avenue 205,Gainesville,FL,32601,"1,129",2008,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,380 ",,,No,,,,No,No
07297-031-090,AT,Alachua,"$145,000 ",2/28/2018,"$150,000 ","$145,000 ",,35,35,4/4/2018,4/10/2018,$139.02 ,,$134.38 ,"$150,000 ",4/10/2018,CASH,2976 SW 35th Place 90,Gainesville,FL,32608,"1,079",2007,3,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,531 ",,,No,,,,No,No
15524-203-000,AT,Alachua,"$235,000 ",3/14/2018,"$242,900 ","$235,000 ",,72,72,5/25/2018,5/26/2018,$224.91 ,,$217.59 ,"$242,900 ",5/26/2018,CASH,1185 SW 9TH Road 203,Gainesville,FL,32601,"1,080",2008,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$3,803 ",,,No,,,,No,No
15636-308-000,AT,Alachua,"$280,000 ",10/16/2018,"$275,000 ","$280,000 ",,52,0,12/7/2018,3/1/2019,$190.44 ,,$193.91 ,"$275,000 ",3/1/2019,OTHER,921 SW Depot Avenue 308,Gainesville,FL,32601,"1,444",2007,4,4,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$4,392 ",,,No,,,,No,No
07305-007-002,AT,Alachua,"$81,500 ",3/16/2017,"$91,500 ","$81,500 ",,123,123,7/17/2017,7/21/2017,$75.75 ,,$67.47 ,"$91,500 ",7/21/2017,CASH,2735 SW 35th Place 702,Gainesville,FL,32608,"1,208",1985,2,3,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,334 ",,,No,,,,No,No
07305-007-002,AT,Alachua,"$93,500 ",5/3/2017,"$99,000 ","$93,500 ",,28,28,5/31/2017,5/31/2017,$81.95 ,,$77.40 ,"$99,000 ",5/31/2017,CASH,2635 SW 35th Place 107,Gainesville,FL,32608,"1,208",1985,2,2,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,285 ",,,No,,,,No,No
07305-008-002,AT,Alachua,"$85,000 ",5/13/2017,"$91,000 ","$85,000 ",,69,67,7/21/2017,7/25/2017,$75.33 ,,$70.36 ,"$91,000 ",7/25/2017,CASH,2735 35th Place 802,Gainesville,FL,32608,"1,208",1986,2,3,1,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,334 ",,,No,,,,No,No
07285-001-204,AT,Alachua,"$151,500 ",2/16/2019,"$154,900 ","$151,500 ",,83,83,5/10/2019,5/17/2019,$110.64 ,,$108.21 ,"$154,900 ",5/17/2019,CASH,2515 SW 35th Place 204,Gainesville,FL,32608,"1,400",2007,2,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,392 ",,,No,,,,No,No
07285-001-214,AT,Alachua,"$165,500 ",5/8/2019,"$164,900 ","$165,500 ",,65,64,7/12/2019,7/15/2019,$117.79 ,,$118.21 ,"$164,900 ",7/15/2019,CASH,2515 SW 35th Place 214,Gainesville,FL,32608,"1,400",2007,2,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,392 ",,,No,,,,No,No
07294-201-112,AT,Alachua,"$69,000 ",4/24/2017,"$75,000 ","$69,000 ",,22,10,5/16/2017,8/29/2017,$62.60 ,,$57.60 ,"$75,000 ",8/29/2017,CASH,3705 SW 27 Street,Gainesville,FL,32608,"1,198",1996,3,3,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$653 ,,,No,,,,No,No
07294-201-916,AT,Alachua,"$101,900 ",6/22/2018,"$101,900 ","$101,900 ",,98,98,9/28/2018,10/1/2018,$107.26 ,,$107.26 ,"$109,900 ",7/6/2018,CONVENTIONAL,3705 SW 27th Street 916,Gainesville,FL,32608,950,1996,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,399 ",,,No,,,,No,No
